cd_taxon;taxon;polyvoltine;ovoviviparity;BMWP.taxo;BMWP.Original.Score
2;Taeniopterygidae;0;0;Taeniopterygidae;10
3;Brachyptera;0;0;Taeniopterygidae;10
10;Rhabdiopteryx;0;0;Taeniopterygidae;10
14;Taeniopteryx;0;0;Taeniopterygidae;10
20;Nemouridae;0;0;Nemouridae;7
21;Amphinemura;0;0;Nemouridae;7
26;Nemoura;0;0;Nemouridae;7
44;Nemurella;0;0;Nemouridae;7
46;Protonemura;0;0;Nemouridae;7
66;Leuctridae;0;0;Leuctridae;10
67;Euleuctra;0;0;Leuctridae;10
69;Leuctra;0;0;Leuctridae;10
110;Pachyleuctra;0;0;Leuctridae;10
115;Capniidae;0;0,871335155;Capniidae;10
116;Capnia;0;0,75;Capniidae;10
120;Capnopsis;0;1;Capniidae;10
122;Capnioneura;0;1;Capniidae;10
127;Perlodidae;0;0;Perlodidae;10
128;Arcynopteryx;0;0;Perlodidae;10
130;Besdolus;0;0;Perlodidae;10
132;Dictyogenus;0;0;Perlodidae;10
136;Diura;0;0;Perlodidae;10
138;Isogenus;0;0;Perlodidae;10
140;Isoperla;0;0;Perlodidae;10
150;Perlodes;0;0;Perlodidae;10
155;Perlidae;0;0;Perlidae;10
156;Dinocras;0;0;Perlidae;10
159;Marthamea;0;0;Perlidae;10
162;Eoperla;0;0;Perlidae;10
164;Perla;0;0;Perlidae;10
169;Chloroperlidae;0;0;Chloroperlidae;10
170;Chloroperla;0;0;Chloroperlidae;10
174;Siphonoperla;0;0;Chloroperlidae;10
178;Xanthoperla;0;0;Chloroperlidae;10
180;Isoptena;0;0;Chloroperlidae;10
183;Rhyacophila;0,109277927;0;Rhyacophilidae;7
189;Glossosomatidae;0,195650345;0;NA;NA
190;Glossosoma;0,333333333;0;NA;NA
191;Agapetus;0,25;0;NA;NA
192;Synagapetus;0;0;NA;NA
193;Hydroptilidae;0,597340929;0;Hydroptilidae;6
194;Ptilocolepus;0,5;0;Hydroptilidae;6
196;Stactobia;1;0;Hydroptilidae;6
197;Orthotrichia;0,75;0;Hydroptilidae;6
198;Ithytrichia;0;0;Hydroptilidae;6
199;Oxyethira;0,75;0;Hydroptilidae;6
200;Hydroptila;0,6;0;Hydroptilidae;6
201;Agraylea;0,75;0;Hydroptilidae;6
202;Allotrichia;0,75;0;Hydroptilidae;6
204;Tricholeiochiton;0,5;0;Hydroptilidae;6
206;Philopotamidae;0;0;Philopotamidae;8
207;Chimarra;0;0;Philopotamidae;8
209;Philopotamus;0;0;Philopotamidae;8
210;Wormaldia;0;0;Philopotamidae;8
211;Hydropsychidae;0,385919408;0;Hydropsychidae;5
212;Hydropsyche;0,5;0;Hydropsychidae;5
221;Cheumatopsyche;0,4;0;Hydropsychidae;5
223;Polycentropodidae;0,57301821;0;Polycentropodidae;7
224;Cyrnus;0,6;0;Polycentropodidae;7
228;Plectrocnemia;0,4;0;Polycentropodidae;7
231;Polycentropus;0,333333333;0;Polycentropodidae;7
235;Holocentropus;0,6;0;Polycentropodidae;7
236;Neureclipsis;1;0;Polycentropodidae;7
238;Psychomyidae;0,803415829;0;Psychomyiidae;8
239;Psychomyia;0,75;0;Psychomyiidae;8
241;Lype;1;0;Psychomyiidae;8
245;Tinodes;0,6;0;Psychomyiidae;8
246;Metalype;1;0;Psychomyiidae;8
249;Ecnomus;0,25;0;NA;NA
251;Phryganeidae;0,041666667;0;Phryganeidae;10
252;Trichostegia;0;0;Phryganeidae;10
254;Agrypnia;0;0;Phryganeidae;10
