TYPO_I2M2;SHANNON;ASPT;POLYVOLTIN;OVOVIVIPARE;RICHESSE
17;4,31;7,5625;0,1995;0,0295;71,1
57;4,384;6,766;0,24;0,07;57,8
18;4,3435;7,237;0,17;0,0165;66,1
36;4,218;6,736;0,261;0,1;65
35;4,446;6,936;0,238;0,078;69
34;3,7035;6,676;0,2955;0,15;55,9
55;3,16;5,3175;0,3525;0,23;42
22;4,003;7,112;0,187;0,02;61,4
16;4,262;7,372;0,208;0,028;54,4
59;4,098;6,59;0,26;0,09;61,8
37;4,0865;6,5725;0,3155;0,0985;74
66;4,066;7,341;0,21;0,01;50,7
15;3,928;7,216;0,226;0,04;57,6
40;4,194;6,968;0,248;0,064;64,2
38;3,75;6,57;0,28;0,06;64
39;3,9075;6,66;0,22;0,06;74,25
32;4,434;6,49;0,26;0,118;77,8
61;4,267;7,428;0,21;0,02;69
14;4,144;7,302;0,1865;0,02;58
33;3,897;7,076;0,2805;0,0815;64,95
12;4,53;7,419;0,18;0,02;72,3
45;4,433;7,153;0,2;0,03;71
42;4,11;7,442;0,268;0,01;63,8
43;4,568;6,9545;0,22;0,0405;73,95
31;4,207;7,1905;0,1795;0,01;58,15
62;4,525;7,36;0,2;0,01;63,75
63;4,4575;7,3725;0,16;0,01;64
8;4,497;7,4235;0,223;0,0465;64,05
13;4,6675;7,38;0,16;0,01;66,75
51;3,95;6,877;0,25;0,05;59,9
9;4,452;7,332;0,184;0,01;60,6
54;4,138;6,842;0,237;0,057;60
25;4,215;6,903;0,224;0,01;62,3
60;4,1965;6,9295;0,2745;0,12;67,55
44;4,199;6,857;0,204;0,044;53,9
49;4,39;6,838;0,24;0,036;63
50;4,03;6,77;0,24;0,02;70
41;3,802;5,837;0,272;0,09;44,1
56;4,215;7,031;0,2235;0,05;68,55
10;4,42;7,223;0,221;0,04;72,7
48;4,045;7,1925;0,29;0,09;63,75
46;4,054;6,614;0,233;0,05;62
11;3,87;7,265;0,21;0,01;65,5
47;3,752;6,464;0,316;0,126;50,4
30;4,24;7,246;0,188;0,01;66,8
64;4,25;7,0405;0,2155;0,0255;67,25
3;4,39;7,22;0,24;0,03;64
4;4,169;7,387;0,16;0,01;60,9
2;4,4985;7,281;0,16;0,01;65,85
1;4,293;7,324;0,15;0,01;57,05
53;3,8785;7,3825;0,211;0,01;48,95
52;3,599;6,612;0,25;0,111;63,9
21;4,14;7,016;0,21;0,04;56,4
19;3,9945;7,1315;0,207;0,01;60,3
20;3,89;6,503;0,3285;0,087;63,5
6;3,484;7,476;0,17;0,01;38,6
27;3,865;7,03;0,25;0,05;64
26;4,04;6,91;0,29;0,05;64
29;4,098;7,049;0,25;0,01;63,7
28;4,438;7,268;0,208;0,01;58
23;3,91;7,0675;0,26;0,0225;61,5
24;3,939;6,694;0,26;0,017;53,3
7;4,1675;7,571;0,1445;0,01;48,65
5;3,08;6,83;0,29;0,02;25
65;3,398;6,916;0,227;0,01;45,1
58;3,9155;7,2875;0,2055;0,01;47,15
